SongNumber,SongID,AlbumID,AlbumName,ArtistID,ArtistName,Duration,KeySignature,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title
1,SOMZWCG12A8C13C480,84,Fear Itself,ARD7TVE1187B99BFB1,Casual,8.9317,1,0.736,92.198,4,0.778,I Didn't Mean To
2,SOCIWDW12A8C13D406,82,Dimensions,ARMJAGH1187FB546F3,The Box Tops,8.0354,6,0.169,121.274,4,0.384,Soul Deep
3,SOXVLOJ12AB0189215,495,Las Numero 1 De La Sonora Santanera,ARKRRTF1187B9984DA,Sonora Santanera,7.4754,8,0.643,100.07,1,0,Amor De Cabaret
4,SONHOTT12A8C13493C,765,Friend Or Foe,AR7G5I41187FB4CE6C,Adam Ant,3.4036,0,0.751,119.293,4,0,Something Girls
5,SOFSOCN12A8C143F5D,133,Muertos Vivos,ARXR32B1187FB57099,Gob,9.606,2,0.092,129.738,4,0.562,Face the Ashes
6,SOYMRWW12A6D4FAB14,83,Ordinary Day,ARKFYS91187B98E58F,Jeff And Sheri Easter,7.702,5,0.635,147.782,3,0.454,The Moon And I (Ordinary Day Album Version)
7,SOMJBYD12A6D4F8557,82,Da Ghetto Psychic,ARD0S291187B9B7BF5,Rated R,4.7815,1,0,111.787,1,0,Keepin It Real (Skit)
8,SOHKNRJ12A6701D1F8,7,Gin & Phonic,AR10USD1187B99F3F1,Tweeterfriendly Music,9.5701,4,0,101.43,3,0.408,Drop of Rain
9,SOIAZJW12AB01853F1,818,Pink World,AR8ZCNI1187B9A069B,Planet P Project,9.8183,4,0.717,86.643,4,0.487,Pink World
10,SOUDSGM12AC9618304,231,Superinstrumental,ARNTLGG11E2835DDB9,Clp,6.3962,7,0.053,114.041,4,0.878,Insatiable (Instrumental Version)
11,SOQHXMF12AB0182363,908,I Need You,ARGSJW91187B9B1D6B,JennyAnyKind,8.775,5,0.354,146.765,1,0,Young Boy Blues
12,SOKEJEJ12A8C13E0D0,387,The Way Home,ARC43071187B990240,Wayne Watson,5.2109,7,0.07,117.975,4,0.835,The Urgency (LP Version)
13,SOMUYGI12AB0188633,579,Placer & Castigo,ARL7K851187B99ACD2,Andy Andy,6.3505,9,0.205,130.04,4,0,La Culpa
14,SORAMLE12AB017C8B0,586,Arrivederci,ARHHO3O1187B989413,Bob Azzam,1.8428,10,0,137.334,1,0.319,Auguri Cha Cha
15,SOBONFF12A6D4F84D8,81,Dancing On The Ceiling,ARIK43K1187B9AE54C,Lionel Richie,7.382,3,0.524,125.197,3,0.211,Tonight Will Be Alright
16,SOHUOAP12A8AE488E9,512,Outskirts,ARD842G1187B997376,Blue Rodeo,1.1277,7,1,119.826,4,0.756,Floating
17,SOUQQEA12A8C134B1B,995,Cross Currents,ARIG6O41187B988BDD,Richard Souther,8.597,8,0.041,127.756,5,0.579,High Tide
18,SOILPQQ12AB017E82A,518,Panjtan Ka Ghulam,AR1ZHYZ1187FB3C717,Faiz Ali Faiz,9.2485,6,0.06,99.273,4,0.158,Sohna Nee Sohna Data
19,SOXLBJT12A8C140925,230,Gold,ARYKCQI1187FB3B18F,Tesla,0.2983,7,0.725,150.062,4,0.931,Caught In A Dream
20,SOZVMJI12AB01808AF,110,Whatever Happened To Boredom?,ARNPAGP1241B9C7FD4,lextrical,5.6942,7,0.011,138.331,4,0.127,Synthetic Dream
21,SOWTBJW12AC468AC6E,513,1942-1952 Jimmy Wakely,ARQGYP71187FB44566,Jimmy Wakely,1.8493,1,0.799,86.186,3,0.929,Broken-Down Merry-Go-Round
22,SOBEBDG12A58A76D60,974,All The Good Times,ARI3BMM1187FB4255E,Alice Stuart,0.7864,11,0.809,110.382,1,0.192,Kassie Jones
23,SOZCTXZ12AB0182364,699,Un cafe_ setanta matins,AR5KOSW1187FB35FF4,Elena,9.5832,2,0.596,111.874,4,1,Setanta matins
